Match,Odd1,OddX,Odd2,Streck1,StreckX,Streck2
Arsenal - Chelsea,2.05,3.55,3.60,52,24,24
Milan - Lazio,2.15,3.30,3.50,49,28,23
Valencia - Sevilla,2.45,3.10,2.95,39,31,30
Leverkusen - Freiburg,1.75,3.95,4.40,63,21,16
Benfica - Braga,1.88,3.60,3.95,58,23,19
PSV - Twente,1.70,4.05,4.80,61,22,17
Ajax - AZ,2.35,3.40,2.90,42,27,31
Sporting - Porto,2.50,3.25,2.80,37,30,33
Lyon - Monaco,2.70,3.35,2.55,34,29,37
Atletico - Villarreal,1.95,3.45,3.95,56,24,20
Dortmund - Leipzig,2.25,3.65,2.95,44,25,31
Roma - Atalanta,2.55,3.20,2.75,36,30,34
Real Sociedad - Betis,2.10,3.20,3.70,47,30,23
